Code,Description,Sell,Matrix Master,Inventoried,Inventory,Quantity Total,Quantity Reserved,Quantity in Warehouses,Quantity Ordered For Customers,Quantity Ordered For Stock
Z147000VE,Apple iMac (Retina 4K  21.5-inch  2020) with 3.6GHz 4-Core i3 / 16GB RAM / 512GB Storage / Radeon Pro 555X (2GB GDDR5) - CTO,"1,699.00",unchecked,checked,0,0,0,0,0,0
MHK23LL/A,Apple iMac (Retina 4K  21.5-inch  2020) with 3.6GHz 4-Core i3 / 8GB RAM / 256GB Storage / Radeon Pro 555X (2GB GDDR5),"1,299.00",unchecked,checked,1,1,0,0,0,0
MXWT2LL/A,Apple iMac (Retina 5K  27-inch  2020) with 3.1GHz 6-Core i5 / 8GB RAM / 256GB Storage / Radeon Pro 5300 (4GB GDDR6),"1,799.00",unchecked,checked,1,1,0,0,0,0
MXWU2LL/A,Apple iMac (Retina 5K  27-inch  2020) with 3.3GHz 6-Core i5 / 8GB RAM / 512GB Storage / Radeon Pro 5300 (4GB GDDR6),"1,999.00",unchecked,checked,1,1,0,0,0,0
Z0ZX002EM,Apple iMac (Retina 5K  27-inch  2020) with 3.8GHz 8-Core i7 / 8GB RAM / 1TB Storage / Radeon Pro 5500XT (8GB GDDR6),"2,499.00",unchecked,checked,0,0,0,0,0,0
MXWV2LL/A,Apple iMac (Retina 5K  27-inch  2020) with 3.8GHz 8-Core i7 / 8GB RAM / 512GB Storage / Radeon Pro 5500XT (8GB GDDR6),"2,299.00",unchecked,checked,0,0,0,0,0,0
922-8202,"Apple iMac 20"" A1224 Hard Drive Cooling Fan 922-8202 922-8510 922-8843",29,unchecked,checked,1,1,0,0,0,0
MHLV3LL/A,Apple iMac Pro (Retina 5K  27-inch  2017) with 3.0GHz 10-Core Xeon W / 32GB RAM / 1TB Storage / Radeon Pro Vega 56 (8GB HBM2),"4,999.00",unchecked,checked,0,0,0,0,0,0
MYLE2LL/A,Apple iPad (8th Gen) WiFi only / 128 GB - Silver ,429,unchecked,checked,0,0,0,0,0,0
MYL92LL/A,Apple iPad 10.2-in iPad (8th-Gen) Wi-Fi 32GB - Space Gray,329,unchecked,checked,0,0,0,0,0,1
MUU52LL/A,Apple iPad mini (5th Gen) WiFi only / 256GB - Silver,549,unchecked,checked,0,0,0,0,0,0
MUQY2LL/A,Apple iPad mini 5 WI-FI - 64GB - Gold (5th Generation),399,unchecked,checked,0,0,0,0,0,0
MUQW2LL/A,Apple iPad mini 5 Wi‑Fi 64GB - Space Gray,399,unchecked,checked,0,0,0,0,0,1
MY232LL/A,Apple iPad Pro 11-inch (2nd Gen) WiFi only / 128GB - Space Gray,799,unchecked,checked,-1,-1,0,0,0,0
MY2H2LL/A,Apple iPad Pro 12.9-inch (4th Gen) WiFi only / 128GB - Space Gray,999,unchecked,checked,1,1,0,0,0,0
MXAU2LL/A,Apple iPad Pro 12.9-inch (4th Gen) WiFi only / 256GB - Silver,"1,099.00",unchecked,checked,0,0,0,0,0,0
MXAT2LL/A,Apple iPad Pro 12.9-inch (4th Gen) WiFi only / 256GB - Space Gray,"1,099.00",unchecked,checked,0,0,0,0,0,1
MXAV2LL/A,Apple iPad Pro 12.9-inch (4th Gen) WiFi only / 512GB - Space Gray,"1,299.00",unchecked,checked,0,0,0,0,0,0
S1987LL/A,"Apple Labor Charge  PBG4/MBP17""",155,unchecked,unchecked,0,0,0,0,0,0
661-6125 ,"Apple LCD Display 27"" for iMac 27"" Mid 2011",299,unchecked,unchecked,0,0,0,0,0,0
661-7885-3rd Party,"Apple LCD Display for iMac 27"" Late 2013",829,unchecked,unchecked,0,0,0,0,0,0
661-6069 - 3rd Party,"Apple LCD Display Module for MacBook Air 11"" Mid 2011",389,unchecked,unchecked,0,0,0,0,0,0
661-6624 - 3rd Party,"Apple LCD Display Panel Clamshell for MacBook Air 11.6"" Mid 2012",409,unchecked,unchecked,0,0,0,0,0,0
922-9030 - 3rd Party,"Apple Left Speaker for MacBook Pro 15"" Unibody 2.53GHz & Mid 2009",49,unchecked,unchecked,0,0,0,0,0,0
MD826AM/A,Apple Lightning DIgital AV Adapter,49,unchecked,checked,1,1,0,0,0,0
MD820AM/A,Apple Lightning to Micro USB Adapter ,19,unchecked,checked,0,0,0,0,0,0
MD822ZM/A,Apple Lightning to SD Card Camera Reader ,29,unchecked,checked,0,0,0,0,0,0
